
-------------------------------------
0p/1s
Recomb: 1p/1s + 0p/1s | 4c/2c0a, Prob: 60.50%
Recomb: 1p/1s + 1p/1s | 3c/2c0a, Prob: 60.50%
Recomb: 1p/1s + 1p/1s | 4c/2c0a, Prob: 60.50%
Recomb: 0p/2s + 1p/0s | 2c/3c1a, Prob: 60.25%
Recomb: 0p/2s + 2p/0s | 1c/3c1a, Prob: 60.25%
Recomb: 1p/1s + 0p/1s | 2c/3c1a, Prob: 60.25%
Recomb: 1p/1s + 1p/1s | 1c/3c1a, Prob: 60.25%
Recomb: 0p/2s + 1p/0s | 2c/3c0a, Prob: 59.50%
Recomb: 0p/2s + 1p/1s | 2c/2c0a, Prob: 59.50%
Recomb: 0p/2s + 2p/0s | 1c/3c0a, Prob: 59.50%
Recomb: 1p/1s + 0p/1s | 2c/3c0a, Prob: 59.50%
Recomb: 1p/1s + 1p/1s | 1c/3c0a, Prob: 59.50%
Recomb: 0p/2s + 2p/0s | 2c/1c2a, Prob: 59.25%
Recomb: 1p/1s + 1p/1s | 2c/1c2a, Prob: 59.25%
Recomb: 0p/2s + 2p/0s | 0c/2c2a, Prob: 58.50%
Recomb: 1p/1s + 1p/1s | 0c/2c2a, Prob: 58.50%
Recomb: 0p/2s + 1p/1s | 2c/2c1a, Prob: 58.00%
Recomb: 0p/2s + 2p/0s | 0c/3c0a, Prob: 57.00%
Recomb: 1p/1s + 1p/1s | 0c/3c0a, Prob: 57.00%
Recomb: 0p/2s + 1p/0s | 3c/2c0a, Prob: 56.00%
Recomb: 0p/2s + 1p/1s | 3c/1c0a, Prob: 56.00%
Recomb: 0p/2s + 2p/0s | 2c/2c0a, Prob: 56.00%
Recomb: 1p/1s + 0p/1s | 3c/2c0a, Prob: 56.00%
Recomb: 1p/1s + 1p/1s | 2c/2c0a, Prob: 56.00%
Recomb: 0p/2s + 1p/1s | 3c/0c0a, Prob: 55.80%
Recomb: 0p/2s + 2p/0s | 3c/1c1a, Prob: 54.69%
Recomb: 1p/1s + 1p/1s | 3c/1c1a, Prob: 54.69%
Recomb: 0p/2s + 1p/0s | 2c/2c2a, Prob: 53.50%
Recomb: 0p/2s + 2p/0s | 1c/2c2a, Prob: 53.50%
Recomb: 1p/1s + 0p/1s | 2c/2c2a, Prob: 53.50%
Recomb: 1p/1s + 1p/1s | 1c/2c2a, Prob: 53.50%
Recomb: 0p/2s + 1p/0s | 1c/4c0a, Prob: 52.50%
Recomb: 0p/2s + 1p/1s | 1c/3c0a, Prob: 52.50%
Recomb: 1p/1s + 0p/1s | 1c/4c0a, Prob: 52.50%
Recomb: 0p/2s + 1p/0s | 2c/2c1a, Prob: 52.37%
Recomb: 0p/2s + 2p/0s | 1c/2c1a, Prob: 52.37%
Recomb: 1p/1s + 0p/1s | 2c/2c1a, Prob: 52.37%
Recomb: 1p/1s + 1p/1s | 1c/2c1a, Prob: 52.37%
Recomb: 0p/2s + 1p/0s | 3c/1c1a, Prob: 50.19%
Recomb: 0p/2s + 2p/0s | 2c/1c1a, Prob: 50.19%
Recomb: 1p/1s + 0p/1s | 3c/1c1a, Prob: 50.19%
